id,room_id,user_id,joined_at,left_at,is_host,device_type
a95543ae-0bbb-405b-8589-2b30f209a524,1e8edb8b-587a-46fc-a56b-f71c3f111662,7bf955fd-640d-4912-a467-788219ff1ef0,2026-06-18 23:22:21,2026-06-19 00:17:21,False,mobile
66fabcf7-c851-41b5-b9f8-38d454a5dee9,1e8edb8b-587a-46fc-a56b-f71c3f111662,d3b590f1-1054-465d-96ce-059823374619,2026-06-18 23:22:33,2026-06-19 01:44:33,False,mobile
838be27f-b7c8-43a9-8409-aa4093ff94f8,72dc3479-6506-45c0-a7ca-62a8cacac53a,f447d0db-001d-46ec-b0c4-1a9c4993b551,2026-06-18 23:22:50,2026-06-19 01:54:50,True,mobile
a748c08e-f20d-48ff-a995-244c622fc1be,1e8edb8b-587a-46fc-a56b-f71c3f111662,a6bce154-fa2c-4fa3-b13a-7105598d11c3,2026-06-18 23:22:56,2026-06-18 23:54:56,True,web
cb721674-a235-4c31-98d9-8586606109dd,1e8edb8b-587a-46fc-a56b-f71c3f111662,4e3acc7d-f3c0-4d84-ab2a-ef055a0f8dd7,2026-06-18 23:23:13,2026-06-19 02:02:13,False,desktop
2960dbaf-800f-4c08-8ab6-1a66591b43a0,24b0a815-f474-4b23-b424-d8facfc82425,1d79c15c-5cbe-4bbd-9dbc-f2355b1cf9b6,2026-06-18 23:24:10,2026-06-19 00:32:10,False,mobile
df642e68-932d-418b-bc47-c357d0e58cbc,24b0a815-f474-4b23-b424-d8facfc82425,19b975ac-3a93-4b96-a5e3-375fcd57c8b6,2026-06-18 23:24:28,2026-06-19 02:14:28,False,web
81a366c7-11a9-4d24-8c32-9e886ee3dcfd,6906316f-e6a3-40fa-98da-1c352c63b00d,7452eaaa-2236-42d1-9eed-51ab26384d60,2026-06-18 23:24:33,2026-06-19 02:19:33,True,desktop
a5d2736f-d12d-4791-9228-0c9a3b54b5b0,5eb3a1ff-6a51-499d-a747-f23d0f5fc3f1,21d4b7c7-3460-4698-9ec2-18396a897781,2026-06-18 23:24:38,2026-06-19 02:06:38,False,web
5a877a32-89f2-4bf8-94a3-67eb2850f529,24b0a815-f474-4b23-b424-d8facfc82425,42a6f8bb-b768-4abc-9603-e16bdf62dafc,2026-06-18 23:24:44,2026-06-19 01:56:44,True,mobile
20379a97-2434-4ed1-9ee4-27e2f78055c8,5eb3a1ff-6a51-499d-a747-f23d0f5fc3f1,19afd3dc-d2be-4670-884b-e2dc8b33e2ae,2026-06-18 23:24:50,2026-06-18 23:37:50,True,mobile
798767c8-0c66-481d-aa94-58375a2cb2fc,24b0a815-f474-4b23-b424-d8facfc82425,000c0477-f13e-410e-945b-2e408df5a19c,2026-06-18 23:25:19,2026-06-19 01:28:19,False,mobile
a4e6c998-a608-41bc-a19c-4c40e648a785,f677959b-bacf-4231-afef-8caf440b562e,2b44245b-69d1-45d5-9249-dfbd15e472a9,2026-06-18 23:25:47,2026-06-19 00:08:47,True,desktop
2c4895d6-500b-404f-9385-50620d3c0778,f677959b-bacf-4231-afef-8caf440b562e,42e6f042-22ae-47bf-be0a-5611f2487d8f,2026-06-18 23:26:08,2026-06-19 02:18:08,False,mobile
16097a76-f374-46fb-88e0-4f0bf326cfd1,6e7ef21f-0238-4c17-a9d0-3fc7d7ef224f,4ee4e4f0-bb23-4b8d-8dcf-a93b136655bd,2026-06-18 23:26:15,2026-06-19 01:04:15,True,mobile
ffbe66c2-c7db-44bc-87ba-661c94228440,72dc3479-6506-45c0-a7ca-62a8cacac53a,2589c78c-e6ec-4abb-a1e6-bd1273cfdeaa,2026-06-18 23:26:19,2026-06-19 00:41:19,False,mobile
feea7bd3-046d-4ca2-beb7-2fadc7531113,6906316f-e6a3-40fa-98da-1c352c63b00d,c0b33d50-0434-4ced-8f59-4563eeed85a2,2026-06-18 23:26:25,2026-06-19 00:54:25,False,desktop
b148b557-a7db-4dab-a995-551aeec1fd33,6e7ef21f-0238-4c17-a9d0-3fc7d7ef224f,3d48e06a-cb46-4da0-b9f0-362e1f44567c,2026-06-18 23:26:43,2026-06-19 01:20:43,False,desktop
ccdfcbc2-cacc-4d94-9afe-05f6ae8d8250,1e8edb8b-587a-46fc-a56b-f71c3f111662,8a1cc3fb-bb9f-4a05-bd0c-e1f0a02b0542,2026-06-18 23:26:49,2026-06-19 01:36:49,False,mobile
476eaef8-3bb4-4515-b4d7-e3434fe6d79b,72dc3479-6506-45c0-a7ca-62a8cacac53a,8d860c4e-e037-44c2-be04-59a11fcd3343,2026-06-18 23:26:55,2026-06-18 23:51:55,False,mobile
a7f737bb-ce64-4627-bd6c-b0016f7c55bc,ba9dfa95-b89f-4cb9-b47c-fd239fd550d5,c1323a63-30c3-41c2-a010-6259c8ad8714,2026-06-19 10:51:20,2026-06-19 12:34:20,True,mobile
bb72ea09-3106-468f-82ea-2a5e342b5df4,ba9dfa95-b89f-4cb9-b47c-fd239fd550d5,0f42e55c-e2f1-4ef6-959b-0e39485b881f,2026-06-19 10:51:20,2026-06-19 13:13:20,False,web
c7150a9d-6804-44cc-8e1b-a0634bf8ce6b,d36b3228-3370-42cd-8d5f-0d1baa83bc66,95999ef1-3dee-413a-91d9-58f1c8b7d3dc,2026-06-19 10:51:30,2026-06-19 13:29:30,True,web
c1eed093-6558-4970-9a8e-40b1f71044df,d36b3228-3370-42cd-8d5f-0d1baa83bc66,3f78906d-8830-4afd-9569-6682c625741e,2026-06-19 10:51:30,2026-06-19 13:32:30,False,web
e628e342-e38c-4ff8-ba8d-0a66cdea2259,ccce422d-4b36-4a55-82a4-3d495ebe4d53,f4069231-0d41-4175-853e-0ef898226d97,2026-06-19 10:51:38,2026-06-19 11:15:38,True,desktop
b903c4bc-7c29-4935-ba5e-181c34ddbed4,3b022286-185e-413d-863f-f290ad03be61,fe3011a0-c931-4512-aa21-3b4013c88951,2026-06-19 10:55:11,2026-06-19 11:35:11,True,desktop
ffdd7d1f-da7f-4822-8e8b-be909ce0fb09,3b022286-185e-413d-863f-f290ad03be61,91f76402-014a-41d8-baee-d588af33b23a,2026-06-19 10:55:11,2026-06-19 11:38:11,False,desktop
6746d5f9-7627-4b68-9b2c-34e5c4ef9399,84d3671a-6e54-4f13-bbc6-b42b91a9c68e,6108e19c-0b10-42b2-bc4a-a75f74a31b89,2026-06-19 10:55:18,2026-06-19 12:35:18,True,desktop
4eba3bc3-fdf2-4ce6-b489-827049013be6,84d3671a-6e54-4f13-bbc6-b42b91a9c68e,b9cebfec-6756-4c31-af63-82cd7e08ca88,2026-06-19 10:55:18,2026-06-19 12:42:18,False,desktop
238a68a6-426b-4afe-b9d3-e1a62f701428,f5022bbc-add2-47b7-a5c9-c012e43ee189,061b5104-ae8b-4699-b5cf-5e040ea1b762,2026-06-19 10:55:32,2026-06-19 12:27:32,True,web
72dcc3d0-e390-4572-9338-a73acaacf27e,f5022bbc-add2-47b7-a5c9-c012e43ee189,b77e12ac-c966-4c38-8d0c-b7afef27f6db,2026-06-19 10:55:32,2026-06-19 12:13:32,False,web
0c787021-ae08-4dac-8cb5-c0c0bb68e087,5a6dd61b-1f58-4eeb-842e-41c40354a51d,e9a7d752-9b25-4616-92b3-edb905512202,2026-06-19 10:57:55,2026-06-19 12:03:55,True,desktop
1ec9835d-10be-4be4-b3db-5c638a30cf3c,5a6dd61b-1f58-4eeb-842e-41c40354a51d,55829a23-649b-4c07-8fac-48687f0dbbf1,2026-06-19 10:57:55,2026-06-19 11:11:55,False,mobile
9cbe31fa-316c-4252-b7d8-928a4051372c,c059cf71-1252-40af-a490-505d135491ad,3a5a455c-b0b4-41c9-94fe-b4efcc045e68,2026-06-19 10:58:18,2026-06-19 11:26:18,True,desktop
ded5d133-c2bd-488d-8626-6fec22f71ab8,c059cf71-1252-40af-a490-505d135491ad,0ce42ca3-c85d-4327-b49d-0e8adb74d2c9,2026-06-19 10:58:18,2026-06-19 13:05:18,False,desktop
5d3f76d9-307b-4bbb-b08a-a813106dc1ee,887615a5-d44b-45fd-892f-a40597a18dc5,7a9d5fb0-a416-4f2e-af89-c7b367d8ff11,2026-06-19 10:59:16,2026-06-19 12:13:16,True,mobile
43302ed2-e8d1-431b-a6ac-08332ecaa9f1,887615a5-d44b-45fd-892f-a40597a18dc5,3f78906d-8830-4afd-9569-6682c625741e,2026-06-19 10:59:16,2026-06-19 13:31:16,False,web
11465839-a6cf-4b02-9eb2-27f94972fa3d,04d2bee2-547c-4a66-af19-70064fcb365d,55eda42c-ebef-41e1-a9a4-64e2a6eb6bc4,2026-06-19 10:59:58,2026-06-19 11:14:58,True,web
71ce144a-1ce3-440f-aa89-6388ff7b7565,04d2bee2-547c-4a66-af19-70064fcb365d,0ce42ca3-c85d-4327-b49d-0e8adb74d2c9,2026-06-19 10:59:58,2026-06-19 12:05:58,False,mobile
