id,channel_id,user_id,joined_at,left_at
311b9d16-89c1-44e4-8d9e-51e0dea8fd06,264c9336-0ef1-56f4-b4dd-04c0ad22e2a0,8a33c4d8-6b0e-46e4-a38f-deb43800667a,2026-06-19 23:02:51,2026-06-20 00:18:51
579319dc-fc1d-40da-a75d-66d70823513a,92855bb1-ccfe-5145-bbeb-950e1ed28d8a,8592972f-fa8c-430f-b937-da5d53ec0f79,2026-06-19 23:02:56,2026-06-19 23:28:56
b8a4faf0-8653-4756-832e-c0e07261e053,19e6e825-f109-5f78-a414-6b0341a9dd1d,8a52dde1-0eb7-4cdf-a260-8946b5996f11,2026-06-19 23:03:03,2026-06-20 01:17:03
311b9d16-89c1-44e4-8d9e-51e0dea8fd06,264c9336-0ef1-56f4-b4dd-04c0ad22e2a0,8a33c4d8-6b0e-46e4-a38f-deb43800667a,2026-06-19 23:02:51,2026-06-19 23:03:14
579319dc-fc1d-40da-a75d-66d70823513a,92855bb1-ccfe-5145-bbeb-950e1ed28d8a,8592972f-fa8c-430f-b937-da5d53ec0f79,2026-06-19 23:02:56,2026-06-19 23:03:20
b8a4faf0-8653-4756-832e-c0e07261e053,19e6e825-f109-5f78-a414-6b0341a9dd1d,8a52dde1-0eb7-4cdf-a260-8946b5996f11,2026-06-19 23:03:03,2026-06-19 23:03:25
4376feb1-8551-4f30-b01b-98662a59c966,4aa73280-a86e-5ef7-8657-0fb1c1ab7be8,200cde03-a175-4e8c-919c-6f958c9a8944,2026-06-19 23:04:10,2026-06-19 23:26:10
68672c05-cac5-4d60-b39a-cf61472d5782,19e6e825-f109-5f78-a414-6b0341a9dd1d,bfb03793-454f-46b2-866b-64896e1bea0f,2026-06-19 23:04:16,2026-06-20 01:07:16
4376feb1-8551-4f30-b01b-98662a59c966,4aa73280-a86e-5ef7-8657-0fb1c1ab7be8,200cde03-a175-4e8c-919c-6f958c9a8944,2026-06-19 23:04:10,2026-06-19 23:04:21
8147aea7-1b2d-4e15-b4c0-05caa5baaeb6,c850225c-6d71-50ca-9fcd-21c97e3294ca,604cc5c8-b374-4801-ad23-e6a8e117d809,2026-06-19 23:04:26,2026-06-19 23:45:26
ec4212f2-a22d-4ba5-8c56-fdb2f69b7c32,4aa73280-a86e-5ef7-8657-0fb1c1ab7be8,bf137881-4947-4119-b0cc-411edc096d29,2026-06-19 23:16:40,2026-06-20 02:01:40
b06b6091-5092-47f3-8a92-248dd3d9a682,c5a53fde-7921-528a-9bcf-c4c7c7dc5df6,4cb02d64-d97e-4adc-98d8-8e3ce0b5dec7,2026-06-19 23:16:46,2026-06-20 00:19:46
ec4212f2-a22d-4ba5-8c56-fdb2f69b7c32,4aa73280-a86e-5ef7-8657-0fb1c1ab7be8,bf137881-4947-4119-b0cc-411edc096d29,2026-06-19 23:16:40,2026-06-19 23:16:52
d8c21aaf-2dbe-423c-bec4-9259437d5469,6a544bea-a75d-56ca-aa01-9f14ab6d98f7,d6b6a05f-8187-404e-a05e-5d0f4d34475c,2026-06-19 23:18:19,2026-06-19 23:44:19
d8c21aaf-2dbe-423c-bec4-9259437d5469,6a544bea-a75d-56ca-aa01-9f14ab6d98f7,d6b6a05f-8187-404e-a05e-5d0f4d34475c,2026-06-19 23:18:19,2026-06-19 23:18:26
bda04758-4b64-4be8-b38b-7b769ba110f4,19e6e825-f109-5f78-a414-6b0341a9dd1d,7c259a14-c648-4f00-b5e5-112e52f7ecdb,2026-06-19 23:18:32,2026-06-20 01:36:32
c452a554-3c88-4a44-9ce2-fb2cf7cc52cc,c850225c-6d71-50ca-9fcd-21c97e3294ca,12322423-8605-4a4d-a56e-320798952caf,2026-06-19 23:18:39,2026-06-19 23:55:39
bda04758-4b64-4be8-b38b-7b769ba110f4,19e6e825-f109-5f78-a414-6b0341a9dd1d,7c259a14-c648-4f00-b5e5-112e52f7ecdb,2026-06-19 23:18:32,2026-06-19 23:18:56
c452a554-3c88-4a44-9ce2-fb2cf7cc52cc,c850225c-6d71-50ca-9fcd-21c97e3294ca,12322423-8605-4a4d-a56e-320798952caf,2026-06-19 23:18:39,2026-06-19 23:19:02
f8e45642-bc7a-44ea-ad57-d3639b5ca308,92855bb1-ccfe-5145-bbeb-950e1ed28d8a,bac6d5f1-3c7d-4a24-b9f7-a361d17def20,2026-06-19 23:19:09,2026-06-19 23:43:09
f8e45642-bc7a-44ea-ad57-d3639b5ca308,92855bb1-ccfe-5145-bbeb-950e1ed28d8a,bac6d5f1-3c7d-4a24-b9f7-a361d17def20,2026-06-19 23:19:09,2026-06-19 23:19:21
310e67b8-0b5f-4bf4-93e5-35d0f859c817,92855bb1-ccfe-5145-bbeb-950e1ed28d8a,12322423-8605-4a4d-a56e-320798952caf,2026-06-19 23:19:40,2026-06-20 02:02:40
310e67b8-0b5f-4bf4-93e5-35d0f859c817,92855bb1-ccfe-5145-bbeb-950e1ed28d8a,12322423-8605-4a4d-a56e-320798952caf,2026-06-19 23:19:40,2026-06-19 23:19:46
438969fd-60ca-4bd3-ad5b-8d81583b13d9,41fa2207-79da-5ce2-a920-c86cf991a15a,0ce42ca3-c85d-4327-b49d-0e8adb74d2c9,2026-06-19 23:19:53,2026-06-20 01:38:53
e906db2b-f57d-4f42-bfce-8c76a3290d6c,c850225c-6d71-50ca-9fcd-21c97e3294ca,60b3dd71-61d8-479f-8273-25ea1164d7f4,2026-06-19 23:20:04,2026-06-20 00:19:04
438969fd-60ca-4bd3-ad5b-8d81583b13d9,41fa2207-79da-5ce2-a920-c86cf991a15a,0ce42ca3-c85d-4327-b49d-0e8adb74d2c9,2026-06-19 23:19:53,2026-06-19 23:20:11
e906db2b-f57d-4f42-bfce-8c76a3290d6c,c850225c-6d71-50ca-9fcd-21c97e3294ca,60b3dd71-61d8-479f-8273-25ea1164d7f4,2026-06-19 23:20:04,2026-06-19 23:20:17
0b8e0062-cd6d-4ed7-ac3d-6a2d5fedf089,264c9336-0ef1-56f4-b4dd-04c0ad22e2a0,a9d59bd4-e35b-4a6e-8e50-25649f3e4084,2026-06-19 23:20:25,2026-06-19 23:51:25
2347b66d-f9a1-4247-9e1e-06aebff13777,6a544bea-a75d-56ca-aa01-9f14ab6d98f7,34482cd6-6e50-42a1-a75e-4af1e82ec746,2026-06-19 23:20:31,2026-06-20 01:34:31
0b8e0062-cd6d-4ed7-ac3d-6a2d5fedf089,264c9336-0ef1-56f4-b4dd-04c0ad22e2a0,a9d59bd4-e35b-4a6e-8e50-25649f3e4084,2026-06-19 23:20:25,2026-06-19 23:20:37
2347b66d-f9a1-4247-9e1e-06aebff13777,6a544bea-a75d-56ca-aa01-9f14ab6d98f7,34482cd6-6e50-42a1-a75e-4af1e82ec746,2026-06-19 23:20:31,2026-06-19 23:20:42
a6712dfe-f5e0-43f1-9746-76b2406d76b7,c850225c-6d71-50ca-9fcd-21c97e3294ca,10a01827-fe68-4876-8ad1-5166c4f80fd3,2026-06-19 23:20:49,2026-06-20 00:01:49
