id,podcast_id,episode_id,user_id,joined_at,left_at
889e5500-4801-4491-b422-a6c07ad9ac88,1e90b1b9-9bba-4fa6-ae08-1303a45c4d74,7dbfce4e-bce2-48ba-9f7c-d7645f4deb54,e004d3d6-e3c4-48b9-998b-7b53a075e6c4,2026-06-19 13:58:14,2026-06-19 16:00:14
889e5500-4801-4491-b422-a6c07ad9ac88,1e90b1b9-9bba-4fa6-ae08-1303a45c4d74,7dbfce4e-bce2-48ba-9f7c-d7645f4deb54,e004d3d6-e3c4-48b9-998b-7b53a075e6c4,2026-06-19 13:58:14,2026-06-19 13:58:14
b6a84835-593b-4ac8-980d-ed81e1444411,1e90b1b9-9bba-4fa6-ae08-1303a45c4d74,e89a26e8-af9f-42a5-a117-6068a1a7e45b,046b4c7f-6adc-4235-9e21-95ca0d5c3b3b,2026-06-19 13:58:21,2026-06-19 14:57:21
611e15ca-5cd2-4952-9185-3a8d3af05a15,9a2db0ad-f595-4f7d-8ff8-30afe8f6bdf0,812f0d0f-c4e0-4a20-8a38-6a11386ce15b,16680d46-fc8a-4691-8b00-b09bc2004a19,2026-06-19 13:58:56,2026-06-19 15:41:56
611e15ca-5cd2-4952-9185-3a8d3af05a15,9a2db0ad-f595-4f7d-8ff8-30afe8f6bdf0,812f0d0f-c4e0-4a20-8a38-6a11386ce15b,16680d46-fc8a-4691-8b00-b09bc2004a19,2026-06-19 13:58:56,2026-06-19 13:58:56
a4d15934-e9d5-4259-826f-93033f541de0,9a2db0ad-f595-4f7d-8ff8-30afe8f6bdf0,812f0d0f-c4e0-4a20-8a38-6a11386ce15b,7a9d5fb0-a416-4f2e-af89-c7b367d8ff11,2026-06-19 13:59:14,2026-06-19 15:09:14
a4d15934-e9d5-4259-826f-93033f541de0,9a2db0ad-f595-4f7d-8ff8-30afe8f6bdf0,812f0d0f-c4e0-4a20-8a38-6a11386ce15b,7a9d5fb0-a416-4f2e-af89-c7b367d8ff11,2026-06-19 13:59:14,2026-06-19 13:59:20
a5777d6c-bb3c-45f4-bb79-645a79f8d95d,6c0972df-9325-49f6-8e61-cdde63f48dda,d419394b-4875-4c23-9475-663258336453,1fd32b5a-5090-4bc2-ab21-ed5b400a4c80,2026-06-19 13:59:42,2026-06-19 14:17:42
bbf6b386-084b-4e1b-984e-09a4bc0fa92c,9a2db0ad-f595-4f7d-8ff8-30afe8f6bdf0,812f0d0f-c4e0-4a20-8a38-6a11386ce15b,9f7f4ca0-5afb-45d7-be70-b6d8d99b98ac,2026-06-19 13:59:48,2026-06-19 16:02:48
a5777d6c-bb3c-45f4-bb79-645a79f8d95d,6c0972df-9325-49f6-8e61-cdde63f48dda,d419394b-4875-4c23-9475-663258336453,1fd32b5a-5090-4bc2-ab21-ed5b400a4c80,2026-06-19 13:59:42,2026-06-19 13:59:48
