id,session_id,user_id,joined_at,left_at
2f401c69-6fb0-4f26-a4c4-e3c96f508ac3,f7801428-546c-4a46-af77-946fff37297a,8a52dde1-0eb7-4cdf-a260-8946b5996f11,2026-06-19 14:27:50,2026-06-19 16:22:50
c6631d48-46cf-431f-ad5d-fc737f01f9bc,f7801428-546c-4a46-af77-946fff37297a,4fdb4c3e-d350-446e-b914-016b5168675d,2026-06-19 14:28:00,2026-06-19 16:35:00
10c697fb-3d05-4569-8031-7e7e09f632b1,f7801428-546c-4a46-af77-946fff37297a,e9a7d752-9b25-4616-92b3-edb905512202,2026-06-19 14:30:07,2026-06-19 15:27:07
c9d170a9-e9ea-4f44-b9c5-c2222c652d8b,3c90df4e-0068-4b62-a941-4e60611e0f1f,8c1c7130-727a-4ee2-99f4-710a13ac717a,2026-06-19 14:30:34,2026-06-19 16:18:34
acff9d8c-7b56-489f-9023-1be999028e97,b3d1a17a-4dc9-4237-ae98-6aa8624ad0d8,95999ef1-3dee-413a-91d9-58f1c8b7d3dc,2026-06-19 14:31:09,2026-06-19 16:05:09
faa346f8-0b8e-472f-ba18-ced51d63d424,37091c5e-8947-429a-9ccd-8af98b4de5e0,16680d46-fc8a-4691-8b00-b09bc2004a19,2026-06-19 14:32:08,2026-06-19 15:12:08
c9cdbad0-c841-4e8d-b3ba-f333a89f5837,e803b49a-fb3c-4671-9348-85ee583f00fd,22a990f3-a58e-4b79-a832-f797a1f2489f,2026-06-19 14:32:16,2026-06-19 15:38:16
684cd92a-d2d0-4d8e-bb93-49bf9829b0be,5445fe91-8c6d-4ed8-9eae-73a4f5ba541d,6bd5d031-e68b-47c0-8300-c43f0c2f35f7,2026-06-19 14:32:37,2026-06-19 15:56:37
4f009636-4fa6-467f-8c3a-3d0a09f09778,e803b49a-fb3c-4671-9348-85ee583f00fd,373c3697-78cf-4304-af76-ea5a452dad05,2026-06-19 14:32:47,2026-06-19 17:26:47
3adbae15-4c83-480b-84f6-20b3a9a8dd4f,f7801428-546c-4a46-af77-946fff37297a,604cc5c8-b374-4801-ad23-e6a8e117d809,2026-06-19 14:33:24,2026-06-19 14:42:24
