id,room_id,requested_by,song_name,artist_name,requested_at,request_status,played_at
363c1862-e91b-4056-9453-e972ee1106bd,1e8edb8b-587a-46fc-a56b-f71c3f111662,668e99a9-6f78-4d89-946b-ee8931241dcb,Rockstar,Post Malone,2026-06-18 23:22:11,pending,2026-06-18 23:24:11
db279bfb-71c9-49ea-b93e-ba18d61c7354,1e8edb8b-587a-46fc-a56b-f71c3f111662,31839618-4989-4710-8319-a4454bdbe5bf,Dynamite,BTS,2026-06-18 23:22:44,played,2026-06-18 23:22:44
3aafefdc-02ba-4403-9d47-f114bce4f1bd,1e8edb8b-587a-46fc-a56b-f71c3f111662,fec36013-8fd3-417a-b035-0d83a753cecd,Rockstar,Post Malone,2026-06-18 23:23:07,rejected,2026-06-18 23:25:07
0f56dc20-7168-4bbe-ad75-86a24e787269,72dc3479-6506-45c0-a7ca-62a8cacac53a,c4584b37-82ae-45bd-b953-a03c47971575,Blinding Lights,The Weeknd,2026-06-18 23:23:41,played,2026-06-18 23:23:41
36add986-7c0a-414b-a3f2-f893b20a2ba5,1e8edb8b-587a-46fc-a56b-f71c3f111662,d089d22c-2667-4da8-8bba-1d10bbf1b784,Calm Down,Rema & Selena Gomez,2026-06-18 23:23:47,approved,2026-06-18 23:32:47
9b971a47-6c87-4be5-9e33-d8f110e18b92,24b0a815-f474-4b23-b424-d8facfc82425,a51a4678-2a65-40ba-bf63-6b37f46f5d5f,Perfect,Ed Sheeran,2026-06-18 23:24:10,rejected,2026-06-18 23:48:10
21277e65-875c-472d-aeb7-bbaecf7167c2,72dc3479-6506-45c0-a7ca-62a8cacac53a,61a88306-1290-45f8-acca-7bdb9a3cbd68,Perfect,Ed Sheeran,2026-06-18 23:24:16,pending,2026-06-18 23:53:16
eca1e56b-613d-4887-87e9-a127202c293e,24b0a815-f474-4b23-b424-d8facfc82425,1dec7839-e7ae-49c8-babe-2d8316d1b9bc,Samajavaragamana,Sid Sriram,2026-06-18 23:24:28,pending,2026-06-18 23:43:28
169d77e8-b309-4c78-b550-6db36082a058,5eb3a1ff-6a51-499d-a747-f23d0f5fc3f1,5060c135-ea8f-4249-b6a7-007206fdb171,Kesariya,Arijit Singh,2026-06-18 23:24:38,pending,2026-06-18 23:46:38
9afcf12d-ac27-431f-81bd-065aaa90f9ba,5eb3a1ff-6a51-499d-a747-f23d0f5fc3f1,28beb14c-1541-4d8f-bdc7-5df6fae51865,Samajavaragamana,Sid Sriram,2026-06-18 23:24:50,pending,2026-06-18 23:45:50
fb257e3e-2c95-4786-9552-6cf9f3e2af25,72dc3479-6506-45c0-a7ca-62a8cacac53a,c41eec8c-8879-483c-84b4-f118f331d862,Dynamite,BTS,2026-06-18 23:25:30,rejected,2026-06-18 23:26:30
ba2b7580-6048-42a8-b47f-17c24605f3f3,f677959b-bacf-4231-afef-8caf440b562e,7bf955fd-640d-4912-a467-788219ff1ef0,Dynamite,BTS,2026-06-18 23:26:08,approved,2026-06-18 23:45:08
44e52f9e-cba2-48fc-81d3-57d06fa42103,72dc3479-6506-45c0-a7ca-62a8cacac53a,bc37cc2a-1781-4193-ab85-e0cc62a1c8b6,Naatu Naatu,Unknown,2026-06-18 23:26:19,played,2026-06-18 23:26:19
365c9dce-e355-421d-a802-4454c7102b30,72dc3479-6506-45c0-a7ca-62a8cacac53a,048fa9f3-0ea2-4d39-aac4-379b2a9fae99,Perfect,Ed Sheeran,2026-06-18 23:26:31,rejected,2026-06-18 23:29:31
