id,group_id,user_id,role,status,joined_at,left_at,time_spent
ed7dac14-c8c7-49fd-8b50-b2f95811c8c6,96e6dcde-9a2c-4074-af8f-7261dea2ee23,91f76402-014a-41d8-baee-d588af33b23a,admin,active,2026-06-19 22:32:45,2026-06-20 00:35:45,0
48034600-1a57-487b-b7e9-43131c6ea247,85a3c4e1-7427-4844-ba1a-91da26d7421d,dd57e564-052a-4682-be12-af1e69f7a1db,admin,active,2026-06-19 22:32:53,2026-06-19 23:56:53,0
cbfdda33-fecd-4f2f-90de-edd8bfea3905,6fac3abf-0421-4f0d-afcf-21e7f6cbfc32,7ec59d36-ace1-48c6-bb3b-30857d908c76,admin,active,2026-06-19 22:34:32,2026-06-20 01:03:32,0
65744d22-a9c3-4690-a963-e1dbda133f09,6fac3abf-0421-4f0d-afcf-21e7f6cbfc32,004ef5d0-1b11-4f0c-a4d5-1d265c844bcc,member,active,2026-06-19 22:34:32,2026-06-20 00:18:32,87
5116a89b-12fe-4b31-a8b1-b33e8934c3cb,97339f2e-5d26-47c9-8ec5-9b1810f0063e,2ce11701-fb54-408e-9438-aa188a5240c7,admin,active,2026-06-19 22:34:39,2026-06-19 23:36:39,0
f8e863ed-070e-4585-90d6-22fe7a0ee066,97339f2e-5d26-47c9-8ec5-9b1810f0063e,f693dd31-b238-427e-89f4-5809c6ab3d47,member,active,2026-06-19 22:34:45,2026-06-20 01:05:45,55
6a2ce4a4-0675-4c9f-8868-7b47087c6b6d,c4011a88-218b-4d7b-bdda-b1e57e2935bd,1876e0cb-1cae-42b9-9e47-a01e7d06bab2,admin,active,2026-06-19 22:35:00,2026-06-20 00:36:00,0
492d6cd3-ce75-4106-b9ef-016fa8dfe45b,c4011a88-218b-4d7b-bdda-b1e57e2935bd,cbaa9d90-0ce3-4314-8b2b-64e69f60f58d,member,active,2026-06-19 22:35:00,2026-06-20 00:54:00,81
19c2b934-e680-47c9-bd9b-7197c2627e1d,7dcbbcde-6620-4c19-876a-8f8ff4a4d7f3,6bd5d031-e68b-47c0-8300-c43f0c2f35f7,admin,active,2026-06-19 22:35:06,2026-06-20 00:58:06,0
22a9202b-3e14-40f0-b89b-2ed4a44f5226,7dcbbcde-6620-4c19-876a-8f8ff4a4d7f3,f0e9070b-c335-4a6c-9261-55b1b6db8317,member,active,2026-06-19 22:35:06,2026-06-19 23:50:06,6
a2494b4b-17e1-4a0b-805b-16e597a31bf1,62d0630f-1127-4a6a-ba5f-795840520837,57f77cd7-4335-4aa2-b094-57e9848c54d9,admin,active,2026-06-19 22:57:16,2026-06-20 00:29:16,0
fe79b8d0-36d7-4830-9f50-fe208a3cdc66,30579fd4-7408-4491-8270-5952f24c0694,dd04ddfa-4df2-49aa-a764-f24860216e78,admin,active,2026-06-19 22:57:23,2026-06-20 01:53:23,0
1f0e1455-ede0-4a6c-8321-e5008f9c4061,30579fd4-7408-4491-8270-5952f24c0694,c6f64f75-a3dc-4c92-a3e1-5f34e1faa3de,member,active,2026-06-19 22:57:23,2026-06-20 01:28:23,1
e1c2c55b-894c-420c-ab50-b5efd304abce,4b7935e4-2e51-41f3-9eb1-6cf7d0dfefdd,adf45f32-dc41-439f-bff6-d0a586f1eec9,admin,active,2026-06-19 22:57:29,2026-06-20 01:18:29,0
01c589f6-cbdf-47b4-9877-81b2ae247432,62d0630f-1127-4a6a-ba5f-795840520837,33b36497-ccd9-4d3d-b9ba-c19047c591f2,moderator,active,2026-06-19 22:57:29,2026-06-20 00:55:29,70
f3f322bf-9ac8-4c99-9f64-6c2c15db8dfd,795dc51a-0f8a-46ab-8400-080b63b2921d,c5ea1056-8a9a-4d50-9d46-1a131618473d,admin,active,2026-06-19 22:59:58,2026-06-19 23:11:58,0
ef253567-2793-403b-8db0-a71b98fe588b,0e14f0db-2064-4e10-bd87-df1d1eee467c,ab41bb6b-c57a-4d61-8137-e434dc90af6d,admin,active,2026-06-19 23:00:04,2026-06-19 23:11:04,0
aa1ef842-c2fe-46b7-8a1c-75138a7d067a,0e14f0db-2064-4e10-bd87-df1d1eee467c,21697245-2659-4b79-a8aa-19ce33b24381,member,active,2026-06-19 23:00:04,2026-06-20 00:29:04,114
9da89ccc-ebb6-4a73-b965-26b923fb61f4,2a4f4c87-cf8f-481c-839d-d23ebed1f0be,f88b2929-cfd2-4b9a-921b-d191eeb6d565,admin,active,2026-06-19 23:16:06,2026-06-20 01:20:06,0
d2fa7f72-5efb-41b6-ad08-906ae3b934bd,641d1190-1fc3-4a84-ae40-aea85f40d325,67465aa7-e829-469c-8151-d4d82a624b55,admin,active,2026-06-19 23:16:12,2026-06-20 01:59:12,0
