id,room_id,user_id,joined_at,left_at
47add6e1-3105-4091-821a-99d611e462b2,f2bd6ea9-e4ab-4162-aae5-e0ea1559bd35,e9a7d752-9b25-4616-92b3-edb905512202,2026-06-19 14:24:03,2026-06-19 17:21:03
ad6fd9f6-3573-4352-96a9-0ea504523047,610b8a81-eb71-4491-af09-9741077e2288,fe3011a0-c931-4512-aa21-3b4013c88951,2026-06-19 14:24:11,2026-06-19 14:51:11
a2ee8202-0b99-489b-88d1-5dbed5580ddb,61b36343-a5a0-43af-8936-a955b78b90da,a9df166f-15a5-405e-8af7-472cba5d2aea,2026-06-19 14:29:10,2026-06-19 17:06:10
52fed961-fdf6-4e83-9ea3-e7ec9e42876a,e059c1d1-c1e3-4f77-8cae-1d5c9fd50be0,061b5104-ae8b-4699-b5cf-5e040ea1b762,2026-06-19 14:29:43,2026-06-19 15:32:43
85ce08e5-aae0-4886-bc19-164528dead5b,cd1f0824-db52-49ac-9d42-4ff92633aede,1f2504b1-a8c2-487d-b463-eb1d7a077e48,2026-06-19 14:30:17,2026-06-19 16:41:17
a627345f-5f69-45e6-bdef-35edd0677ca6,e7eba31a-f3fb-4c6d-974b-dd9f8617b33a,c53a6b3a-df85-4ade-9c4e-78a656ae0d51,2026-06-19 14:31:57,2026-06-19 15:55:57
178a8996-b34f-4427-819a-1d5ca20e9c2d,a5d82747-efc2-4725-b612-76b39ee00d61,1c92f5ed-55b7-4c90-8efa-2741a382d3e3,2026-06-19 14:32:37,2026-06-19 14:48:37
75b209c8-43bc-4787-ad7e-0e1a8e69d171,3b609d89-202d-4ede-b9e5-f49215515093,e004d3d6-e3c4-48b9-998b-7b53a075e6c4,2026-06-19 14:33:24,2026-06-19 15:41:24
91aceeb3-4534-47ff-9ca9-40b500d9d436,60d65038-9169-453f-9e9d-5cf560ebe246,1efe8a03-0ff0-4d5c-aed3-1bdf1a07b889,2026-06-19 14:34:14,2026-06-19 15:33:14
407e34ec-a6de-4b66-ad49-6d417876bcf5,4a048ee9-4731-4bb7-b4d2-584d29fe0f94,a346bb1e-a7ff-4018-9c61-0eca86df0f61,2026-06-19 14:36:58,2026-06-19 15:27:58
8d55f0d7-4852-4fe4-94bc-e13ac698a4dc,a5a3065a-fc10-4b05-a7cf-9b4585fe5cdc,f4069231-0d41-4175-853e-0ef898226d97,2026-06-19 14:37:22,2026-06-19 15:57:22
11859c1f-a0a1-4d97-b79d-0ad83a55972a,39e6fbc8-bdeb-43e6-9bf0-cceccd2142f4,8c1c7130-727a-4ee2-99f4-710a13ac717a,2026-06-19 14:39:04,2026-06-19 16:39:04
95d8b55a-1f5e-4715-a58a-4adbd369dbf6,4c5a2d7d-5786-45e5-9c56-e4c302b4850b,16680d46-fc8a-4691-8b00-b09bc2004a19,2026-06-19 14:39:28,2026-06-19 17:29:28
